Object URL,Social Tags,C,CS,CSH,GV,AR,BM,MCS
https://6.api.artsmia.org/full/3520.jpg,N/A,"sculpture, statue, art, nude, marble, man, figure, ancient, monument, museum, people, carve, no person, architecture, Renaissance, old, anatomy, stone, artistic, classic",man and woman ceramic figurine,nude man statue,"Sculpture, Classical sculpture, Statue, Standing, Art, Figurine, Male, Muscle, Human body, Chest","Sculpture, Art, Statue, Figurine, Person, Human, Archaeology","person, Museum (Indoor), sculpture, alabaster color","a sculpture of a man, building, sculpture, person, man, standing, holding, front, wearing, large, posing, white, table, suit, stone, cake, old, board, young"
https://1.api.artsmia.org/full/4866.jpg,N/A,"sculpture, art, ancient, statue, no person, one, people, Buddha, man, religion, carve, pottery, old, spirituality, antique, archaeology, traditional, portrait, clay, museum",brown wooden tiki mask decor,woman head figurine,"Sculpture, Forehead, Head, Art, Chin, Figurine, Stone carving, Classical sculpture, Statue, Carving","Head, Bronze, Person, Human, Sculpture, Art, Figurine, Archaeology","person, artifact, socle, support, supporting structure, alabaster color","a close up of a person, black, looking, brown, man, cat, standing"
https://6.api.artsmia.org/800/1721.jpg,N/A,"portrait, people, man, one, adult, eyeglasses, facial hair, eyewear, mustache, face, writer, hair, monochrome, beard, popularity, person, old, sunglasses, look, scientist",mens black framed eyeglasses,mens wearing black sunglasses illustration,"Hair, Photograph, Portrait, Hairstyle, Chin, Forehead, Eyewear, Self-portrait, Moustache, Glasses","Face, Human, Person, Accessory, Sunglasses, Accessories, Beard, Head, Portrait, Photo, Photography, Glasses, Hair, Man, Drawing, Art","art gallery, indoors, Museum (Indoor), person, beard, coonskin cap, cap, headdress, ash grey color, gray color","a man wearing glasses posing for the camera, man, person, glasses, wearing, looking, posing, photo, standing, camera, sunglasses, black, hair, white, close, young, old, shirt"
https://5.api.artsmia.org/full/1748.jpg,N/A,"travel, architecture, gold, ancient, temple, old, culture, religion, art, no person, castle, Buddha, sky, traditional, city, building, sacred, spirituality, ornate, monument",brown and black leather tote bag,two brown and white temple miniatures,"Place of worship, Brass, Metal, Stupa, Mosque, Building, Spire, Bronze","Architecture, Building, Gold, Vehicle, Rocket, Transportation, Temple, Bronze, Furniture, Shrine, Worship, Dome, Tower, Spire, Steeple","repository (monument), enclosure, inkstand, tray, utensil, mausoleum, religious site, building, religious building, temple, ultramarine color","a statue of a person, table, building, sitting, front, large, standing, man, boat, old, water, statue, yellow, white, clock, holding, display, tall, people, tower, street"
https://4.api.artsmia.org/full/529.jpg,N/A,"art, painting, woman, religion, sculpture, people, portrait, adult, one, Renaissance, statue, veil, saint, god, temple, cave, nude, church, gold, wear",offensive,woman in white and yellow dress painting,"Painting, Lady, Portrait, Art, Visual arts, Stock photography, Self-portrait","Art, Painting, Human, Person","person, oil paint, paint, burial chamber, enclosure, masterpiece, Museum (Indoor), clothing, alabaster color","a statue of a person, person, standing, man, photo, holding, looking, woman, old, posing, front, wearing, sitting, white, statue, dress, large, room, umbrella"
https://5.api.artsmia.org/full/4324.jpg,N/A,"sculpture, no person, desktop, food, sweet, isolate, nature, art, icee, delicious, ball, old, health, statue, cream, cold, beautiful, closeup, chilled, head",white and brown floral textile,white carved mountain,"Stone carving, Sculpture, Statue, Classical sculpture, Carving, Rock, Figurine, Art, Monument, Marble","Food, Dessert, Cake, Wedding Cake, Creme, Cream, Crystal, Confectionery, Sweets, Dish, Meal, Icing, Mineral","glyptic art, sculpture, figure, vanilla ice cream, ice cream, dessert, nutrition, food, food product, alabaster color","a stuffed animal on display, sitting, white, cake, table, food, large, standing, holding, display, bear, stuffed, plate, man"
https://1.api.artsmia.org/full/1226.jpg,N/A,"people, adult, man, elderly, portrait, painting, woman, two, art, war, one, religion, wear, military, lid, battle, veil, soldier, sit, family",offensive,man and woman painting,"Painting, Portrait, Art, Photography, Gentleman, Sitting","Painting, Art, Human, Person","catacomb, grandson, person, woman, female, grandmother, grandfather, senior citizen, cadaver, reddish brown color, dark red color","a man and a woman sitting on a couch, person, sitting, man, holding, woman, old, older, people, table, young, white, group"
https://0.api.artsmia.org/full/1218.jpg,N/A,"painting, wall, art, desktop, abstract, texture, pattern, color, design, old, vintage, paper, rock, canvas, image, illustration, wallpaper, gold, retro, background",brown and green abstract painting,trees under sun painting,"Painting, Art, Modern art, Tapestry, Visual arts, Organism, Textile, Mythology, Illustration, History","Painting, Art, Tile, Mosaic, Mural, Modern Art","tapestry, fabric, artwork, map, multi panel pictures/art, game equipment, indoors, paint, olive green color",a close up of some leaves
https://5.api.artsmia.org/800/1244.jpg,N/A,"sculpture, art, statue, museum, no person, metalwork, religion, visual arts sculpture, bronze, exhibition, people, ancient, marble, stone, architecture, artistic, travel, one, nude, wood",brown wooden elephant table decor,brown stone miniature,"Sculpture, Art, Statue, Museum, Classical sculpture, Bronze sculpture, Bronze, Nonbuilding structure, Sculptor, Visual arts","Art, Sculpture, Statue, Flooring, Floor, Wood, Torso, Figurine, Bronze, Kneeling, Toy","socle, support, supporting structure, art gallery, indoors, Museum (Indoor), bookend, alabaster color","a statue of a bear sitting on top of a wooden table, indoor, statue, table, sitting, bear, chair, wooden, box, vase, brown, teddy, display, black, large, giant, stuffed, desk, room, living, perched"
https://3.api.artsmia.org/800/1270.jpg,N/A,"art, religion, people, painting, illustration, god, saint, man, sword, aura, adult, book, culture, group, church, woman, cross, print, Gothic, holy",Marvel Comics The Amazing Spider-Man comic book,human themed paintings,"Art, Modern art, Painting, Visual arts, Mural, Illustration","Person, Human, Art, Painting, Leisure Activities, Skin, Mural, Comics, Book","multi panel pictures/art, bottle green color, maroon color","a group of people posing for a photo, photo, posing, covered, various, many, different, bunch, group, colorful, young, large, man, painted, people, air, night"
