Object URL,Social Tags,C,CS,CSH,GV,AR,BM,MCS
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/6429.jp2/full/680,/0/default.jpg",N/A,"no person, food, container, people, grow, one, jar, cooking, kitchenware, art, business, still life, man, retro, adult, indoors, woman, money, bowl, science",brown wooden framed wall decor,bread beside jar painting,"Still life, Painting, Still life photography, Dishware, Plate, Serveware, Photography, Artwork, Tableware, Dinnerware set","Painting, Art, Pottery, Goblet, Glass, Cup, Coffee Cup, Furniture, Saucer, Food, Bread, Alcohol, Beer, Beverage, Drink, Jug","bell jar, protective covering, LP, memory device, drum, percussion instrument, musical instrument, phonograph record, recording, indoors, light brown color, reddish brown color","a cup of coffee, sitting, small, old, table, brown, food, banana, man, black, cup, white, plate, holding, woman, red, cat"
https://lh6.ggpht.com/dXQZuPrbO3uX_LkMicRkhxFVJ4eJtoxWfFsN74Ersv1GUa4xjfdQC1GskglT6A=s1200,N/A,"street, room, chair, no person, furniture, people, monochrome, seat, city, indoors, window, desk, table, architecture, house, urban, family, business, art, office",black wooden framed glass panel,gray gang chair and graffiti wall art,"Black, Black-and-white, Room, Monochrome, Furniture, Interior design, Table, Monochrome photography, Still life photography, Photography","Chair, Furniture, Human, Person, Table, Road, Street, Building, Town, Urban, City, Indoors, Electronics, Wall, Leisure Activities, Alleyway, Alley","Alley, laundry, office, building, basement, support, supporting structure, indoors, gray color, black color","a chair in a room, indoor, room, table, furniture, living, chair, window, sitting, photo, small, white, bed, desk, black, laptop, bench, computer, kitchen, old, bedroom, covered, woman, stove"
https://lh6.ggpht.com/qVIUwdnMPE_xzQL7REk37fQV3yukUiqH1uNZlW4RxIuhtsfwHO4HhE7-EkYk=s1200,N/A,"painting, art, illustration, nymph, woman, vintage, artistic, print, people, Impressionism, retro, wear, dress, portrait, princess, fashion, canvas, pastel, fairy, one",woman in white dress painting,woman in white top painting,"Painting, Lady, Portrait, Art, Watercolor paint, Self-portrait, Retro style, Visual arts, Modern art","Art, Painting, Person, Human, Portrait, Photo, Photography, Face, Apparel, Clothing","person, oil paint, paint, clothing, headdress, reddish orange color","Luisa Casati looking at the camera, looking, wearing, front, standing, holding, old, woman, hair, glass, man, large, young, display, water"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/34087.jp2/full/680,/0/default.jpg",N/A,"wood, retro, no person, alphabet, carpentry, furniture, carve, writing, empty, design, antique, art, old, rustic, disjunct, dirty, wooden, hardwood, typeset, typography",brown wooden 2-door cabinet,brown furniture leg,Wood,"Stick, Cane, Tool, Axe","ax head, inclined plane, machine, mechanical device, hatchet, ax, cutlery, tool, boomerang, weapon, tomahawk, stick, reddish brown color, dark red color","a wooden table, wooden, dark, sitting, table, mirror, standing, room, man"
https://lh5.ggpht.com/WhgGUr6UInPUX3ilvSDgiMBPMVPlR_itZMIXvPIvJbd38ceOHcuSkZ6FzLP0=s1200,N/A,"painting, art, illustration, tree, no person, religion, travel, visuals, cave, old, landscape, nature, color, wall, image, fall, artistic, wood, deep, print",green and brown abstract painting,painting of trees,"Painting, Art, Modern art, Visual arts, Watercolor paint, Acrylic paint, Tree, Landscape, Artwork, Formation","Art, Painting, Plant, Nature, Mural","oil paint, paint, indoors, nature, fabric, olive green color, greenishness color","a painting of a canyon, canyon, mountain, grass, forest, old, painting, field, colorful, grazing, train"
https://lh3.ggpht.com/TbYpthtj7II7CaV17DryD2fG_xMOyCgOm_c5JEHZxf5hydaYCJYkdTJYtpxfFQ=s1200,N/A,"art, painting, canvas, artistic, illustration, visuals, graphic, abstract, texture, watercolor, color, pastel, design, creativity, impression, pattern, water, paper, brush, stain",green and blue abstract painting,trees and grass painting,"Painting, Acrylic paint, Art, Water, Watercolor paint, Visual arts, Wave, Modern art, Landscape, Wind wave","Art, Painting, Nature, Outdoors, Animal, Modern Art, Bird","oil paint, paint, encaustic paint, ultramarine color, greenish blue color","a painting of a waterfall, painting, mountain, bird, riding, man, water, standing, sitting, brown, large, blue, waterfall, covered, young, horse, colorful, surfing, group, field, grazing, wave, zebra, animal, white, snow, laying, herd"
https://upload.wikimedia.org/wikipedia/commons/d/df/Paul_C%C3%A9zanne_-_Interior_of_a_forest_-_Google_Art_Project.jpg,N/A,"wood, tree, leaf, nature, landscape, jungle, no person, mist, rainforest, dawn, desktop, color, fall, park, branch, lush, guidance, flora, summer, barbaric",offensive,green trees painting,"Tree, Green, Forest, Natural environment, Nature, Northern hardwood forest, Woodland, Old-growth forest, Vegetation, Tropical and subtropical coniferous forests","Painting, Art, Cottage, House, Building, Housing, Plant, Tree, Outdoors","Forest, plant, Rainforest, nature, alpine ash, eucalyptus, tree, New Zealand beech, black beech, loblolly pine, pine tree, greenishness color","a tree in a forest, grass, plant, tree, forest, green, field, wooded, area, sitting, grazing, red, black, standing, bench, large, giraffe, yellow, grassy, white, group"
https://lh3.ggpht.com/H8iLs4PJZLlbpq4k9TL8BWaxWh9Tr3y369NLzHiDn5qWYwnF3GO0Uueij5U=s1200,N/A,"art, portrait, one, no person, wear, people, adult, paper, vintage, retro, painting, woman, print, monochrome, snow, man, nude, antique, desktop, illustration",offensive,Helga Matura grayscale photo,"Photograph, Lady, Portrait, Photography, Black-and-white, Art, Stock photography, Drawing, Chest, Long hair","Art, Drawing, Painting, Face, Sketch, Skin, Outdoors, Canvas, Photo, Photography, Portrait, Nature","person, painting, passe-partout (frame), framework, supporting structure, silverpoint, black color, ash grey color","a waterfall in the background, photo, white, waterfall, laying, water, cat, man"
https://upload.wikimedia.org/wikipedia/commons/1/19/Edward_Burne-Jones_-_Ariadne_-_Google_Art_Project.jpg,N/A,"people, painting, portrait, art, one, adult, wear, woman, print, illustration, coat, veil, outerwear, vintage, lid, retro, man, model, girl, music",black and yellow long sleeve shirt,woman wearing black dress holding drinking glass painting \,"Painting, Art, Portrait","Art, Painting, Human, Person, Apparel, Clothing","oil paint, paint, person, clothing, fish, bottle green color","a man standing in front of a door, man, standing, person, holding, front, black, walking, wearing, young, street, door, boy, large, suit, riding, water, rain, old, umbrella, board, night, white, room"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/106817.jp2/full/680,/0/default.jpg",N/A,"no person, one, wear, isolated, fashion, man, figure, steel, sculpture, woman, cutout, leather, adult, indoors, people, retro, military, contemporary, chrome, glazed",black handled knife with sheath,man wearing coat figurine,"Figurine, Standing, Sculpture, Outerwear, Formal wear, Gentleman, Toy, Statue, Neck, Art","Jar, Pottery, Vase, Appliance, Coat, Overcoat, Clothing, Apparel","Museum (Indoor), cruet (bottle), bottle, toby jug, drinking vessel, lamp, bottle green color, charcoal color","indoor, table, sitting, black, pair, clock, white, desk, holding, standing"
